pop_generation 70 1
values 40 450.911743 -194.382507 
values 41 -312.649719 500 
values 42 78.5916138 -152.033264 
values 43 -25.5564575 55.4523926 
values 44 -123.01062 -75.7188873 
values 45 189.37207 327.496765 
values 46 121.840698 -500 
values 47 82.2537842 -408.511627 
values 48 46.0593872 243.663696 
values 49 -234.676117 -494.729004 
values 50 208.131409 500 
values 51 -209.681854 197.852539 
values 52 -99.8168945 348.646606 
values 53 -391.764709 -303.470917 
values 54 261.74118 475.171356 
values 55 -500 29.1462326 
values 56 500 500 
values 57 -477.039581 -155.694519 
values 58 -256.958435 500 
values 59 349.701263 424.690613 
values 60 -188.563354 -254.297272 
values 61 450.911743 -296.835297 
values 62 109.347809 -168.054718 
values 63 500 -7.96741247 
values 64 -54.7246056 -470.047028 
values 65 60.9577713 284.995667 
values 66 412.255524 281.227509 
values 67 192.248688 405.594299 
values 68 191.153137 405.469849 
values 69 -81.354538 317.2742 
values 70 3.19715095 416.812622 
pop_generation 70 9
values 1 450.911743 -296.835297 
values 2 412.255524 -499.4729 
values 3 192.248688 452.703461 
values 4 191.153137 405.469849 
values 5 -313.135254 -290.883331 
values 6 189.921387 405.329956 
values 7 412.255524 -494.729004 
values 8 412.255524 -494.729004 
values 9 366.620911 425.398621 
values 10 441.613495 -494.729004 
values 11 74.6853027 500 
values 12 -500 428.847168 
values 13 -99.8168945 428.847168 
values 14 216.350037 -314.68219 
values 15 -500 22.8408813 
values 16 -490.753021 395.82666 
values 17 3.19715095 -500 
values 18 20.9124756 434.935516 
values 19 -10.1634436 416.50885 
values 20 450.911743 69.8939209 
values 21 349.701263 424.690613 
values 22 -318.020905 -258.602295 
values 23 216.350037 -226.545837 
values 24 111.459663 -55.3402405 
values 25 216.350037 -500 
values 26 218.153976 225.543121 
values 27 -500 180.247192 
values 28 -132.288086 -500 
values 29 391.672455 30.4964581 
values 30 460.978882 -101.415085 
values 31 -372.739075 -500 
values 32 88.7297668 -272.243835 
values 33 -354.276337 -500 
values 34 -354.276337 -500 
values 35 412.255524 281.227509 
values 36 -500 29.1462326 
values 37 -8.53741455 370.555756 
values 38 147.778748 -500 
values 39 402.000458 -33.0810699 
values 40 -312.649719 500 
values 41 -312.649719 -212.672607 
values 42 29.4486389 -111.925598 
values 43 78.5916138 -152.033264 
values 44 -25.5564575 55.4523926 
values 45 98.7030029 -75.7188873 
values 46 121.840698 -500 
values 47 46.0593872 243.663696 
values 48 222.180496 283.105835 
values 49 -234.676117 -494.729004 
values 50 208.131409 481.185608 
values 51 -490.753021 414.71756 
values 52 -209.681854 197.852539 
values 53 -99.8168945 348.646606 
values 54 371.992157 445.786774 
values 55 500 -337.582977 
values 56 83.6881104 475.171356 
values 57 450.911743 -296.835297 
values 58 23.7176819 127.753021 
values 59 500 474.410645 
values 60 -256.958435 500 
values 61 -188.563354 -254.297272 
values 62 -471.280609 -92.0317459 
values 63 164.92215 -202.82872 
values 64 109.347809 -168.054718 
values 65 320.2565 434.21817 
values 66 74.6853027 397.925659 
values 67 3.19715095 416.812622 
values 68 -81.354538 317.2742 
values 69 382.32373 -372.24054 
values 70 82.2537842 -408.511627 
pop_generation 70 10
values 1 450.911743 -296.835297 
values 2 450.911743 -296.835297 
values 3 -500 428.847168 
values 4 412.255524 -499.4729 
values 5 191.153137 405.469849 
values 6 -261.649841 -326.494781 
values 7 189.921387 405.329956 
values 8 412.255524 -494.729004 
values 9 412.255524 -494.729004 
values 10 366.620911 425.398621 
values 11 371.992157 445.786774 
values 12 -490.753021 414.71756 
values 13 441.613495 -494.729004 
values 14 192.248688 452.703461 
values 15 -99.8168945 428.847168 
values 16 -128.987885 -375.908936 
values 17 -490.753021 395.82666 
values 18 3.19715095 416.812622 
values 19 -10.1634436 416.50885 
values 20 500 397.925659 
values 21 402.000458 -33.0810699 
values 22 20.9124756 434.935516 
values 23 450.911743 -500 
values 24 412.165436 424.690613 
values 25 -336.573608 -258.602295 
values 26 216.350037 -500 
values 27 218.153976 225.543121 
values 28 -500 180.247192 
values 29 -132.288086 -500 
values 30 391.672455 30.4964581 
values 31 298.435913 -220.64566 
values 32 208.131409 481.185608 
values 33 88.7297668 500 
values 34 -132.940872 -500 
values 35 -354.276337 -500 
values 36 3.19715095 500 
values 37 412.255524 281.227509 
values 38 -500 29.1462326 
values 39 -500 22.8408813 
values 40 -8.53741455 370.555756 
values 41 320.2565 434.21817 
values 42 415.29718 -500 
values 43 83.6881104 82.1157227 
values 44 -312.649719 500 
values 45 -312.649719 -212.672607 
values 46 382.32373 -372.24054 
values 47 29.4486389 -111.925598 
values 48 78.5916138 -152.033264 
values 49 -25.5564575 -357.358643 
values 50 121.840698 -500 
values 51 46.0593872 243.663696 
values 52 216.350037 -226.545837 
values 53 -234.676117 -494.729004 
values 54 -372.739075 -500 
values 55 -209.681854 197.852539 
values 56 -99.8168945 348.646606 
values 57 500 -337.582977 
values 58 -490.753021 -225.680008 
values 59 222.180496 283.105835 
values 60 98.7030029 -75.7188873 
values 61 -256.958435 500 
values 62 450.911743 343.562286 
values 63 -137.857849 -165.178802 
values 64 -94.3236389 500 
values 65 23.7176819 127.753021 
values 66 111.459663 -130.670624 
values 67 164.92215 -202.82872 
values 68 109.347809 -168.054718 
values 69 -81.354538 317.2742 
values 70 408.18634 -314.410675 
pop_generation 70 11
values 1 412.165436 424.690613 
values 2 408.18634 -314.410675 
values 3 451.732208 -296.835297 
values 4 450.911743 -296.835297 
values 5 415.29718 -500 
values 6 -500 428.847168 
values 7 412.255524 -499.4729 
values 8 191.153137 405.469849 
values 9 189.921387 405.329956 
values 10 412.255524 -494.729004 
values 11 412.255524 -494.729004 
values 12 366.620911 425.398621 
values 13 371.992157 500 
values 14 -490.753021 414.71756 
values 15 450.911743 -500 
values 16 441.613495 -494.729004 
values 17 192.248688 452.703461 
values 18 -187.655212 199.484863 
values 19 -490.753021 395.82666 
values 20 3.19715095 416.812622 
values 21 -10.1634436 416.50885 
values 22 385.693237 -193.927979 
values 23 20.9124756 -403.074707 
values 24 -36.8760071 -500 
values 25 -261.649841 -326.494781 
values 26 218.153976 225.543121 
values 27 -500 180.247192 
values 28 -132.288086 -500 
values 29 391.672455 30.4964581 
values 30 -139.482269 -19.1790161 
values 31 -336.573608 -258.602295 
values 32 311.973907 481.185608 
values 33 450.911743 343.562286 
values 34 500 -500 
values 35 500 397.925659 
values 36 412.255524 281.227509 
values 37 -500 29.1462326 
values 38 500 22.8408813 
values 39 -8.53741455 370.555756 
values 40 320.2565 434.21817 
values 41 -312.649719 500 
values 42 -312.649719 -212.672607 
values 43 382.32373 -372.24054 
values 44 29.4486389 -111.925598 
values 45 78.5916138 -152.033264 
values 46 -121.881439 -500 
values 47 77.3088074 -165.178802 
values 48 83.6881104 82.1157227 
values 49 495.529114 243.663696 
values 50 216.350037 -226.545837 
values 51 -234.676117 -494.729004 
values 52 111.459663 -130.670624 
values 53 -372.739075 -500 
values 54 -25.5564575 -357.358643 
values 55 -209.681854 257.422272 
values 56 412.165436 -224.682709 
values 57 -41.985199 -337.582977 
values 58 371.170929 -469.993622 
values 59 -128.987885 -375.908936 
values 60 -362.854584 430.450104 
values 61 98.7030029 -75.7188873 
values 62 450.911743 352.538025 
